C6,1.0
A5,1.0
F5,0.25
E-6,2.667
D6,1.0
B5,0.334
G#5,0.5
C6,3.25
G#5,0.25
F5,0.25
D5,0.25
B4,0.25
G#4,0.334
F4,1.5
B-1,0.25
E4,2.75
G#6,0.334
G#5,0.25
G#5,0.25
D5,1.75
C5,1.0
G4,0.75
D4,1.667
B3,0.25
F4,0.334
F3,1.0
G#3,0.334
A3,0.0
C4,0.5
G#3,2.0
G3,0.25
E6,3.0
F5,3.667
B-5,0.75
C6,0.25
F5,0.5
D3,0.334
D6,0.0
C4,0.25
G#3,0.334
D4,0.25
G4,0.334
A5,0.25
B-4,0.25
F#2,2.0
G3,0.75
G#3,0.334
A3,1.0
F4,0.917
G4,0.25
E4,0.334
F4,0.334
B-4,0.25
A4,0.5
F4,0.25
G4,1.417
C5,0.25
C5,1.0
A4,0.5
A3,3.667
D4,0.667
F#3,0.0
F#3,0.0
C5,0.667
D5,1.667
A4,0.417
A4,0.25
D2,0.667
D3,0.25
C4,0.417
D4,3.75
E-4,0.5
F4,0.584
G4,0.25
G3,0.75
F#2,0.25
B-3,0.5
E-6,0.667
B3,2.25
D3,1.0
C5,1.417
B-5,1.0
D5,0.0
B-4,0.0
G#4,0.25
A4,0.25
C5,0.334
A4,0.334
G4,0.5
F4,1.084
D4,1.0
A3,0.667
F3,0.334
G3,0.667
G#3,1.417
A3,2.0
C4,0.25
F4,0.334
A3,0.25
F4,1.0
B2,0.25
A3,0.334
C5,1.0
B-4,1.75
G4,0.5
F4,0.5
D4,0.334
C4,0.417
B3,0.25
E4,1.334
C4,0.5
C6,0.25
A5,1.0
F5,0.334
D5,0.667
G#4,0.584
F4,0.25
D5,1.084
F3,0.75
F5,1.334
G5,0.167
F5,1.0
C3,0.5
B4,0.75
B-3,1.167
E-6,0.334
D6,0.25
G5,0.25
G#5,0.5
A5,0.5
F#6,3.334
C#6,0.25
D6,3.084
D5,0.25
F5,0.75
F5,0.25
G5,0.667
C5,1.75
B-4,1.0
G#4,1.0
A4,3.334
G4,0.25
F4,0.25
C#3,0.25
D3,0.667
C#3,0.5
D5,0.334
F5,0.25
A5,0.25
G5,0.25
E5,0.25
F5,3.167
C#5,0.167
